identified_name,identified_rank,identified_no,accepted_name,accepted_rank,accepted_no,early_interval,max_ma,min_ma,reference_no,cc,state
Bonniopsis sp.,genus,19508,Bonniopsis,genus,19508,Cambrian,541,485.4,61234,CA,Nunavut
Fremontia sp.,genus,155360,Mesonacis,genus,19142,Cambrian,541,485.4,61234,CA,Nunavut
Trilobita indet.,class,19100,Trilobita,class,19100,Cambrian,541,485.4,61234,CA,Nunavut
Paterina sp.,genus,26583,Paterina,genus,26583,Cambrian,541,485.4,61234,CA,Nunavut
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Cambrian,541,485.4,61234,CA,Nunavut
Bonniopsis sp.,genus,19508,Bonniopsis,genus,19508,Caerfai,530,513,61234,CA,Nunavut
Paedumias sp.,genus,19150,Olenellus (Paedeumias),subgenus,155701,Caerfai,530,513,61234,CA,Nunavut
Trilobita indet.,class,19100,Trilobita,class,19100,Caerfai,530,513,61234,CA,Nunavut
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Caerfai,530,513,61234,CA,Nunavut
Circotheca sp.,genus,7634,Circotheca,genus,7634,Caerfai,530,513,61234,CA,Nunavut
Acrothele ? sp.,genus,26434,Acrothele,genus,26434,Caerfai,530,513,61234,CA,Nunavut
Agraulos sp.,genus,20257,Agraulos,genus,20257,Cambrian,541,485.4,60927,CA,British Columbia
Bonnia sp.,genus,19506,Bonnia,genus,19506,Cambrian,541,485.4,60927,CA,British Columbia
Crassifimbra sp.,genus,20429,Crassifimbra,genus,20429,Cambrian,541,485.4,60927,CA,British Columbia
Olenellus sp.,genus,19149,Olenellus,genus,19149,Cambrian,541,485.4,60927,CA,British Columbia
Onchocephalus sp.,genus,20769,Onchocephalus,genus,20769,Cambrian,541,485.4,60927,CA,British Columbia
Paedumias sp.,genus,19150,Olenellus (Paedeumias),subgenus,155701,Cambrian,541,485.4,60927,CA,British Columbia
Pagetia sp.,genus,19287,Pagetia,genus,19287,Cambrian,541,485.4,60927,CA,British Columbia
Piaziella sp.,genus,20839,Piaziella,genus,20839,Cambrian,541,485.4,60927,CA,British Columbia
Syspacephalus sp.,genus,20986,Ptychoparella,genus,20902,Cambrian,541,485.4,60927,CA,British Columbia
Zacanthopsis sp.,genus,19719,Zacanthopsis,genus,19719,Cambrian,541,485.4,60927,CA,British Columbia
Inglefieldia ? sp.,genus,20578,Inglefieldia,genus,20578,Delamaran,513,505,32149,CA,British Columbia
Olenellus sp.,genus,19149,Olenellus,genus,19149,Delamaran,513,505,32149,CA,British Columbia
Antagmus sp.,genus,20292,Antagmus,genus,20292,Delamaran,513,505,32149,CA,British Columbia
Bonnia sp.,genus,19506,Bonnia,genus,19506,Delamaran,513,505,32149,CA,British Columbia
Onchocephalus sp.,genus,20769,Onchocephalus,genus,20769,Delamaran,513,505,32149,CA,British Columbia
Acrothele sp.,genus,26434,Acrothele,genus,26434,Delamaran,513,505,32149,CA,British Columbia
Micromitra ? sp.,genus,26582,Micromitra,genus,26582,Delamaran,513,505,32149,CA,British Columbia
Olenellus sequornalus ?,species,19149,Olenellus,genus,19149,Caerfai,530,513,60991,CA,Northwest Territories
Olenellus sp.,genus,19149,Olenellus,genus,19149,Caerfai,530,513,60991,CA,Northwest Territories
Salterella sp.,genus,7470,Salterella,genus,7470,Caerfai,530,513,60991,CA,Northwest Territories
Wanneria sp.,genus,19163,Wanneria,genus,19163,Caerfai,530,513,60991,CA,Northwest Territories
Inglefieldia sp.,genus,20578,Inglefieldia,genus,20578,Dyeran,516,513,60915,CA,British Columbia
Kochiella sp.,genus,20624,Kochiella,genus,20624,Dyeran,516,513,60915,CA,British Columbia
Onchocephalus ? sp.,genus,20769,Onchocephalus,genus,20769,Dyeran,516,513,60915,CA,British Columbia
Plagiura sp.,genus,21999,Plagiura,genus,21999,Dyeran,516,513,60915,CA,British Columbia
Plagiurella sp.,genus,155755,Plagiura,genus,21999,Dyeran,516,513,60915,CA,British Columbia
Poulsenia ? sp.,genus,20861,Poulsenia,genus,20861,Dyeran,516,513,60915,CA,British Columbia
Proliostracus sp.,genus,20872,Proliostracus,genus,20872,Dyeran,516,513,60915,CA,British Columbia
Prozacanthoides sp.,genus,19671,Prozacanthoides,genus,19671,Dyeran,516,513,60915,CA,British Columbia
Ptychoparella sp.,genus,20902,Ptychoparella,genus,20902,Dyeran,516,513,60915,CA,British Columbia
Zacanthopsis sp.,genus,19719,Zacanthopsis,genus,19719,Dyeran,516,513,60915,CA,British Columbia
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Dyeran,516,513,60915,CA,British Columbia
Inarticulata indet.,order,26587,Brachiopoda,phylum,26322,Dyeran,516,513,60915,CA,British Columbia
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Delamaran,513,505,32149,CA,British Columbia
Protoconchioides ? rasettii,species,65879,Protoconchioides rasettii,species,65879,Delamaran,513,505,11618,CA,British Columbia
Acrotreta sp.,genus,26436,Acrotreta,genus,26436,Delamaran,513,505,32149,CA,British Columbia
Acrothele sp.,genus,26434,Acrothele,genus,26434,Delamaran,513,505,32149,CA,British Columbia
Dictyonina sp.,genus,26577,Dictyonina,genus,26577,Delamaran,513,505,32149,CA,British Columbia
Paterina ? sp.,genus,26583,Paterina,genus,26583,Delamaran,513,505,32149,CA,British Columbia
Amecephalus sp.,genus,20273,Amecephalus,genus,20273,Delamaran,513,505,32149,CA,British Columbia
Chancia sp.,genus,20399,Chancia,genus,20399,Delamaran,513,505,32149,CA,British Columbia
Ogygopsis sp.,genus,19628,Ogygopsis,genus,19628,Delamaran,513,505,32149,CA,British Columbia
Oryctocephalus sp.,genus,19639,Oryctocephalus,genus,19639,Delamaran,513,505,32149,CA,British Columbia
Poliella sp.,genus,19659,Poliella,genus,19659,Delamaran,513,505,32149,CA,British Columbia
Stephenaspis sp.,genus,19692,Stephenaspis,genus,19692,Delamaran,513,505,32149,CA,British Columbia
Syspacephalus sp.,genus,20986,Ptychoparella,genus,20902,Delamaran,513,505,32149,CA,British Columbia
Wenkchemnia sp.,genus,19716,Wenkchemnia,genus,19716,Delamaran,513,505,32149,CA,British Columbia
Albertella sp.,genus,19475,Albertella,genus,19475,Merioneth,501,485.4,60915,CA,British Columbia
Amecephalus sp.,genus,20273,Amecephalus,genus,20273,Merioneth,501,485.4,60915,CA,British Columbia
Kochina sp.,genus,20625,Kochina,genus,20625,Merioneth,501,485.4,60915,CA,British Columbia
Poliella sp.,genus,19659,Poliella,genus,19659,Merioneth,501,485.4,60915,CA,British Columbia
Ptarmingia sp.,genus,396935,Ptarmingia,genus,396935,Merioneth,501,485.4,60915,CA,British Columbia
Vanuxemella sp.,genus,19714,Vanuxemella,genus,19714,Merioneth,501,485.4,60915,CA,British Columbia
Mexicella sp.,genus,20720,Mexicella,genus,20720,Merioneth,501,485.4,60915,CA,British Columbia
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Merioneth,501,485.4,60915,CA,British Columbia
Acrothele sp.,genus,26434,Acrothele,genus,26434,Merioneth,501,485.4,60915,CA,British Columbia
Obolus sp.,genus,26383,Obolus,genus,26383,Merioneth,501,485.4,60915,CA,British Columbia
Wimanella sp.,genus,27045,Wimanella,genus,27045,Merioneth,501,485.4,60915,CA,British Columbia
Paterina sp.,genus,26583,Paterina,genus,26583,Merioneth,501,485.4,60915,CA,British Columbia
Bathyuriscidella sp.,genus,19498,Bathyuriscidella,genus,19498,St Davids,513,501,60991,CA,Northwest Territories
Bathyuriscus adaeus,species,396062,Bathyuriscus adaeus,species,396062,St Davids,513,501,60991,CA,Northwest Territories
Elrathina spinifera,species,20483,Ptychoparella,genus,20902,St Davids,513,501,60991,CA,Northwest Territories
Oryctocephalus sp.,genus,19639,Oryctocephalus,genus,19639,St Davids,513,501,60991,CA,Northwest Territories
Pagetia sp.,genus,19287,Pagetia,genus,19287,St Davids,513,501,60991,CA,Northwest Territories
Peronopsis columbiensis,species,19293,Peronopsis,genus,19293,St Davids,513,501,60991,CA,Northwest Territories
Zacanthoides sp.,genus,19718,Zacanthoides,genus,19718,St Davids,513,501,60991,CA,Northwest Territories
Alokistocare sp.,genus,20267,Alokistocare,genus,20267,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Athabaskia ? sp.,genus,19493,Athabaskia,genus,19493,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Bathyuriscus sp.,genus,19500,Bathyuriscus,genus,19500,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Chancia sp.,genus,20399,Chancia,genus,20399,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Elrathina sp.,genus,20483,Ptychoparella,genus,20902,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Olenoides sp.,genus,19629,Olenoides,genus,19629,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Pachyaspis sp.,genus,20782,Pachyaspis,genus,20782,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Pagetia sp.,genus,19287,Pagetia,genus,19287,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Peronopsis sp.,genus,19293,Peronopsis,genus,19293,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Solenopleurella sp.,genus,20966,Solenopleurella,genus,20966,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Kootenia sp.,genus,19595,Kootenia,genus,134224,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Tonkinella sp.,genus,19708,Tonkinella,genus,19708,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Zacanthoides sp.,genus,19718,Zacanthoides,genus,19718,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Paterina sp.,genus,26583,Paterina,genus,26583,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Iphidella sp.,genus,234960,Micromitra,genus,26582,Merioneth,501,485.4,60927,CA,Alberta-British Columbia
Elrathina sp.,genus,20483,Ptychoparella,genus,20902,St Davids,513,501,61174,CA,British Columbia
Elrathia permulta,species,435932,Elrathia permulta,species,435931,St Davids,513,501,61174,CA,British Columbia
Olenoides serratus,species,461550,Olenoides serratus,species,461549,St Davids,513,501,61174,CA,British Columbia
Kootenia burgessensis,species,19595,Kootenia,genus,134224,St Davids,513,501,61174,CA,British Columbia
Ptychagnostus burgessensis,species,19306,Ptychagnostus,genus,19306,St Davids,513,501,61174,CA,British Columbia
Pagetia booti,species,19287,Pagetia,genus,19287,St Davids,513,501,61174,CA,British Columbia
Canadaspis sp.,genus,22218,Canadaspis,genus,22218,St Davids,513,501,61174,CA,British Columbia
Perspicaris sp.,genus,22219,Perspicaris,genus,22219,St Davids,513,501,61174,CA,British Columbia
Plenocaris sp.,genus,22108,Plenocaris,genus,22108,St Davids,513,501,61174,CA,British Columbia
Anomalocaris sp.,genus,7370,Anomalocaris,genus,7370,St Davids,513,501,61174,CA,British Columbia
Paterina sp.,genus,26583,Paterina,genus,26583,St Davids,513,501,61174,CA,British Columbia
Dictyonina sp.,genus,26577,Dictyonina,genus,26577,St Davids,513,501,61174,CA,British Columbia
Micromitra sp.,genus,26582,Micromitra,genus,26582,St Davids,513,501,61174,CA,British Columbia
Echmatocrinus sp.,genus,31592,Echmatocrinus,genus,31592,St Davids,513,501,61174,CA,British Columbia
Gogia sp.,genus,31066,Gogia,genus,31066,St Davids,513,501,61174,CA,British Columbia
Protoconchioides ? rasettii ?,species,65879,Protoconchioides rasettii,species,65879,St Davids,513,501,11618,CA,British Columbia
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,St Davids,513,501,61174,CA,British Columbia
Chaunograptus sp.,genus,33800,Chaunograptus,genus,33800,St Davids,513,501,61174,CA,British Columbia
Hazelia sp.,genus,2926,Hazelia,genus,2926,St Davids,513,501,61174,CA,British Columbia
Protospongia sp.,genus,4131,Protospongia,genus,4131,St Davids,513,501,61174,CA,British Columbia
Eiffelia sp.,genus,3611,Eiffelia,genus,3611,St Davids,513,501,61174,CA,British Columbia
Chancelloria sp.,genus,7321,Chancelloria,genus,7321,St Davids,513,501,61174,CA,British Columbia
Ogygopsis klotzi,species,460262,Ogygopsis klotzi,species,460261,St Davids,513,501,61174,CA,British Columbia
Zacanthoides nomengei,species,19718,Zacanthoides,genus,19718,St Davids,513,501,61174,CA,British Columbia
Bathyuriscus sp.,genus,19500,Bathyuriscus,genus,19500,St Davids,513,501,61174,CA,British Columbia
Parkaspis decamera,species,19653,Parkaspis,genus,19653,St Davids,513,501,61174,CA,British Columbia
Pachyaspis sp.,genus,20782,Pachyaspis,genus,20782,St Davids,513,501,61174,CA,British Columbia
Peronopsis sp.,genus,19293,Peronopsis,genus,19293,St Davids,513,501,61174,CA,British Columbia
Ehmaniella sp.,genus,20471,Ehmaniella,genus,20471,St Davids,513,501,61174,CA,British Columbia
Chancia palliseri,species,461613,Chanciaopsis palliseri,species,461613,St Davids,513,501,61174,CA,British Columbia
Oryctocephalus sp.,genus,19639,Oryctocephalus,genus,19639,St Davids,513,501,61174,CA,British Columbia
Nisusia sp.,genus,26877,Nisusia,genus,26877,St Davids,513,501,61174,CA,British Columbia
Solenopleurella sp.,genus,20966,Solenopleurella,genus,20966,St Davids,513,501,61174,CA,British Columbia
Lingulella sp.,genus,26371,Lingulella,genus,26371,St Davids,513,501,61174,CA,British Columbia
Triograptus sp.,genus,33573,Triograptus,genus,33573,Arenig,478.6,466,60919,CA,Yukon
Bryograptus sp.,genus,33544,Bryograptus,genus,33544,Arenig,478.6,466,60919,CA,Yukon
Didymograptus cf. primigenius,species,378281,Anisograptus matanensis,species,378278,Arenig,478.6,466,60919,CA,Yukon
Lingulepis ? sp.,genus,26373,Lingulepis,genus,26373,Arenig,478.6,466,60919,CA,Yukon
Hyolithes sp.,genus,7746,Hyolithes,genus,7746,Arenig,478.6,466,60919,CA,Yukon
Phyllocarida indet.,subclass,22258,Phyllocarida,subclass,22258,Arenig,478.6,466,60919,CA,Yukon
Hesperonomia sp.,genus,26798,Hesperonomia,genus,26798,Canadian,485.4,468.1,7070,CA,Northwest Territories
Diparelasma sp.,genus,26738,Diparelasma,genus,26738,Canadian,485.4,468.1,7070,CA,Northwest Territories
Syntrophopsis sp.,genus,28316,Syntrophopsis,genus,28316,Canadian,485.4,468.1,7070,CA,Northwest Territories
Tritoechia sp.,genus,27029,Tritoechia,genus,27029,Canadian,485.4,468.1,7070,CA,Northwest Territories
Hesperonomiella ? sp.,genus,26799,Hesperonomiella,genus,26799,Canadian,485.4,468.1,7070,CA,Northwest Territories
Carolinites ? sp.,genus,21111,Carolinites,genus,21111,Canadian,485.4,468.1,7070,CA,Northwest Territories
Goniotelina sp.,genus,21188,Acidiphorus,genus,21064,Canadian,485.4,468.1,7070,CA,Northwest Territories
Pseudocybele sp.,genus,21739,Pseudocybele,genus,21739,Canadian,485.4,468.1,7070,CA,Northwest Territories
Orthida indet.,order,26648,Orthida,order,26648,Llanvirn,466,460.9,61157,CA,Yukon
Inarticulata indet.,order,26587,Brachiopoda,phylum,26322,Llanvirn,466,460.9,61157,CA,Yukon
Peraspis sp.,genus,20828,Peraspis,genus,20828,Llanvirn,466,460.9,61157,CA,Yukon
Protocalymene sp.,genus,21732,Protocalymene,genus,21732,Llanvirn,466,460.9,61157,CA,Yukon
Globampyx sp.,genus,19967,Globampyx,genus,19967,Llanvirn,466,460.9,61157,CA,Yukon
Arthrorhachis sp.,genus,19186,Arthrorhachis,genus,19186,Llanvirn,466,460.9,61157,CA,Yukon
Nileus sp.,genus,20075,Nileus,genus,20075,Llanvirn,466,460.9,61157,CA,Yukon
Cybelurus sp.,genus,21520,Cybelurus,genus,21520,Llanvirn,466,460.9,61157,CA,Yukon
Blosyropsis sp.,genus,20356,Blosyropsis,genus,20356,Llanvirn,466,460.9,61157,CA,Yukon
Niobe sp.,genus,20077,Niobe,genus,20077,Llanvirn,466,460.9,61157,CA,Yukon
Illaenus sp.,genus,19582,Illaenus,genus,19582,Llanvirn,466,460.9,61157,CA,Yukon
Phylloporina sp.,genus,25611,Phylloporina,genus,25611,Chazyan,468.1,460.9,60945,CA,Quebec
Camerella sp.,genus,28179,Camerella,genus,28179,Chazyan,468.1,460.9,60945,CA,Quebec
Dactylogonia sp.,genus,27276,Dactylogonia,genus,27276,Chazyan,468.1,460.9,60945,CA,Quebec
Hesperorthis sp.,genus,26800,Hesperorthis,genus,26800,Chazyan,468.1,460.9,60945,CA,Quebec
Mimella sp.,genus,26858,Mimella,genus,26858,Chazyan,468.1,460.9,60945,CA,Quebec
Multicostella sp.,genus,26864,Multicostella,genus,26864,Chazyan,468.1,460.9,60945,CA,Quebec
Orthambonites sp.,genus,26895,Orthambonites,genus,26895,Chazyan,468.1,460.9,60945,CA,Quebec
Ptychopleurella sp.,genus,26963,Ptychopleurella,genus,26963,Chazyan,468.1,460.9,60945,CA,Quebec
Rostricellula sp.,genus,28877,Rostricellula,genus,28877,Chazyan,468.1,460.9,60945,CA,Quebec
Valcourea sp.,genus,27037,Valcourea,genus,27037,Chazyan,468.1,460.9,60945,CA,Quebec
Sphenotreta sp.,genus,28929,Sphenotreta,genus,28929,Chazyan,468.1,460.9,60945,CA,Quebec
Bucania sp.,genus,8317,Bucania,genus,8317,Chazyan,468.1,460.9,60945,CA,Quebec
Maclurites sp.,genus,8511,Maclurites,genus,8511,Chazyan,468.1,460.9,60945,CA,Quebec
Raphistoma sp.,genus,8495,Raphistoma,genus,8495,Chazyan,468.1,460.9,60945,CA,Quebec
Basilicus sp.,genus,19872,Basilicus,genus,19872,Chazyan,468.1,460.9,60945,CA,Quebec
Bumastus sp.,genus,19516,Bumastus,genus,19516,Chazyan,468.1,460.9,60945,CA,Quebec
Calliops sp.,genus,103777,Calliops,genus,103777,Chazyan,468.1,460.9,60945,CA,Quebec
Eoharpes sp.,genus,20495,Eoharpes,genus,20495,Chazyan,468.1,460.9,60945,CA,Quebec
Homotelus sp.,genus,19984,Isotelus,genus,20000,Chazyan,468.1,460.9,60945,CA,Quebec
Isotelus sp.,genus,20000,Isotelus,genus,20000,Chazyan,468.1,460.9,60945,CA,Quebec
Kawina sp.,genus,21616,Kawina,genus,21616,Chazyan,468.1,460.9,60945,CA,Quebec
Lonchodomas sp.,genus,20035,Lonchodomas,genus,20035,Chazyan,468.1,460.9,60945,CA,Quebec
Pliomerops sp.,genus,21721,Pliomerops,genus,21721,Chazyan,468.1,460.9,60945,CA,Quebec
Sphaerexochus sp.,genus,21779,Sphaerexochus,genus,21779,Chazyan,468.1,460.9,60945,CA,Quebec
Vogdesia sp.,genus,20226,Vogdesia,genus,20226,Chazyan,468.1,460.9,60945,CA,Quebec
Eurychilina sp.,genus,23177,Eurychilina,genus,23177,Chazyan,468.1,460.9,60945,CA,Quebec
Bolboporites sp.,genus,6983,Bolboporites,genus,31082,Chazyan,468.1,460.9,60945,CA,Quebec
Palaeocystites sp.,genus,31067,Palaeocystites,genus,31067,Chazyan,468.1,460.9,60945,CA,Quebec
Blastoidocrinus sp.,genus,30935,Blastoidocrinus,genus,30935,Chazyan,468.1,460.9,60945,CA,Quebec
Billingsaria sp.,genus,4828,Billingsaria,genus,4828,Chazyan,468.1,460.9,60945,CA,Quebec
Camerella sp.,genus,28179,Camerella,genus,28179,Chazyan,468.1,460.9,60945,CA,Quebec
Dactylogonia sp.,genus,27276,Dactylogonia,genus,27276,Chazyan,468.1,460.9,60945,CA,Quebec
Hesperorthis sp.,genus,26800,Hesperorthis,genus,26800,Chazyan,468.1,460.9,60945,CA,Quebec
Mimella sp.,genus,26858,Mimella,genus,26858,Chazyan,468.1,460.9,60945,CA,Quebec
Multicostella sp.,genus,26864,Multicostella,genus,26864,Chazyan,468.1,460.9,60945,CA,Quebec
Onychoplecia sp.,genus,26893,Onychoplecia,genus,26893,Chazyan,468.1,460.9,60945,CA,Quebec
Ptychopleurella sp.,genus,26963,Ptychopleurella,genus,26963,Chazyan,468.1,460.9,60945,CA,Quebec
Rostricellula sp.,genus,28877,Rostricellula,genus,28877,Chazyan,468.1,460.9,60945,CA,Quebec
Valcourea sp.,genus,27037,Valcourea,genus,27037,Chazyan,468.1,460.9,60945,CA,Quebec
Schizambon sp.,genus,26552,Schizambon,genus,26552,Chazyan,468.1,460.9,60945,CA,Quebec
Sphenotreta sp.,genus,28929,Sphenotreta,genus,28929,Chazyan,468.1,460.9,60945,CA,Quebec
Bucania sp.,genus,8317,Bucania,genus,8317,Chazyan,468.1,460.9,60945,CA,Quebec
Maclurites sp.,genus,8511,Maclurites,genus,8511,Chazyan,468.1,460.9,60945,CA,Quebec
Raphistoma sp.,genus,8495,Raphistoma,genus,8495,Chazyan,468.1,460.9,60945,CA,Quebec
Basilicus sp.,genus,19872,Basilicus,genus,19872,Chazyan,468.1,460.9,60945,CA,Quebec
Bumastus sp.,genus,19516,Bumastus,genus,19516,Chazyan,468.1,460.9,60945,CA,Quebec
Calliops sp.,genus,103777,Calliops,genus,103777,Chazyan,468.1,460.9,60945,CA,Quebec
Eoharpes sp.,genus,20495,Eoharpes,genus,20495,Chazyan,468.1,460.9,60945,CA,Quebec
Homotelus sp.,genus,19984,Isotelus,genus,20000,Chazyan,468.1,460.9,60945,CA,Quebec
Isotelus sp.,genus,20000,Isotelus,genus,20000,Chazyan,468.1,460.9,60945,CA,Quebec
Lonchodomas sp.,genus,20035,Lonchodomas,genus,20035,Chazyan,468.1,460.9,60945,CA,Quebec
Pliomerops sp.,genus,21721,Pliomerops,genus,21721,Chazyan,468.1,460.9,60945,CA,Quebec
Sphaerexochus sp.,genus,21779,Sphaerexochus,genus,21779,Chazyan,468.1,460.9,60945,CA,Quebec
Vogdesia sp.,genus,20226,Vogdesia,genus,20226,Chazyan,468.1,460.9,60945,CA,Quebec
Bolboporites sp.,genus,6983,Bolboporites,genus,31082,Chazyan,468.1,460.9,60945,CA,Quebec
Cheirocrinus sp.,genus,30949,Cheirocrinus,genus,30949,Chazyan,468.1,460.9,60945,CA,Quebec
Palaeocystites sp.,genus,31067,Palaeocystites,genus,31067,Chazyan,468.1,460.9,60945,CA,Quebec
Malocystites sp.,genus,31120,Malocystites,genus,31120,Chazyan,468.1,460.9,60945,CA,Quebec
Lingulella sp.,genus,26371,Lingulella,genus,26371,Chazyan,468.1,460.9,60945,CA,Quebec
Rostricellula sp.,genus,28877,Rostricellula,genus,28877,Chazyan,468.1,460.9,60945,CA,Quebec
Multicostella sp.,genus,26864,Multicostella,genus,26864,Chazyan,468.1,460.9,60945,CA,Quebec
Glyptomena sp.,genus,27416,Glyptomena,genus,27416,Chazyan,468.1,460.9,60945,CA,Quebec
Palaeoglossa sp.,genus,26388,Palaeoglossa,genus,26388,Chazyan,468.1,460.9,60945,CA,Quebec
Valcourea sp.,genus,27037,Valcourea,genus,27037,Chazyan,468.1,460.9,60945,CA,Quebec
Stictopora sp.,genus,25487,Stictopora,genus,25487,Chazyan,468.1,460.9,60945,CA,Quebec
Cyclora ? sp.,genus,58708,Cyclora,genus,58708,Chazyan,468.1,460.9,60945,CA,Quebec
Helicotoma sp.,genus,8856,Helicotoma,genus,8856,Chazyan,468.1,460.9,60945,CA,Quebec
Raphistoma sp.,genus,8495,Raphistoma,genus,8495,Chazyan,468.1,460.9,60945,CA,Quebec
Lophospiridae indet.,family,56479,Lophospiridae,family,56479,Chazyan,468.1,460.9,9042,CA,Quebec
Ctenodonta sp.,genus,16029,Ctenodonta,genus,16029,Chazyan,468.1,460.9,60945,CA,Quebec
Modiolopsis sp.,genus,17148,Modiolopsis,genus,17148,Chazyan,468.1,460.9,60945,CA,Quebec
Michelinoceras sp.,genus,12542,Michelinoceras,genus,12542,Chazyan,468.1,460.9,60945,CA,Quebec
Crinoidea ? indet.,class,31590,Crinoidea,class,31590,Chazyan,468.1,460.9,60945,CA,Quebec
Pterygometopus ? sp.,genus,21743,Pterygometopus,genus,21743,Chazyan,468.1,460.9,60945,CA,Quebec
Conularina sp.,genus,4570,Conularina,genus,4570,Chazyan,468.1,460.9,60944,CA,Quebec
Billingsaria sp.,genus,4828,Billingsaria,genus,4828,Chazyan,468.1,460.9,60944,CA,Quebec
Phylloporina sp.,genus,25611,Phylloporina,genus,25611,Chazyan,468.1,460.9,60944,CA,Quebec
Trepostomata indet.,order,150199,Trepostomata,order,150199,Chazyan,468.1,460.9,60944,CA,Quebec
Dorytreta ? sp.,genus,28499,Dorytreta,genus,28499,Chazyan,468.1,460.9,60944,CA,Quebec
Lingulella sp.,genus,26371,Lingulella,genus,26371,Chazyan,468.1,460.9,60944,CA,Quebec
Sphenotreta sp.,genus,28929,Sphenotreta,genus,28929,Chazyan,468.1,460.9,60944,CA,Quebec
Glyptorthis sp.,genus,26792,Glyptorthis,genus,26792,Chazyan,468.1,460.9,60944,CA,Quebec
Mimella sp.,genus,26858,Mimella,genus,26858,Chazyan,468.1,460.9,60944,CA,Quebec
Orthida indet.,order,26648,Orthida,order,26648,Chazyan,468.1,460.9,60944,CA,Quebec
Onychoplecia sp.,genus,26893,Onychoplecia,genus,26893,Chazyan,468.1,460.9,60944,CA,Quebec
Glyptomena sp.,genus,27416,Glyptomena,genus,27416,Chazyan,468.1,460.9,60944,CA,Quebec
Orthambonites ? sp.,genus,26895,Orthambonites,genus,26895,Chazyan,468.1,460.9,60944,CA,Quebec
Bumastus sp.,genus,19516,Bumastus,genus,19516,Chazyan,468.1,460.9,60944,CA,Quebec
Isotelus sp.,genus,20000,Isotelus,genus,20000,Chazyan,468.1,460.9,60944,CA,Quebec
Vogdesia sp.,genus,20226,Vogdesia,genus,20226,Chazyan,468.1,460.9,60944,CA,Quebec
Eurychilina sp.,genus,23177,Eurychilina,genus,23177,Chazyan,468.1,460.9,60944,CA,Quebec
Bolboporites sp.,genus,6983,Bolboporites,genus,31082,Chazyan,468.1,460.9,60944,CA,Quebec
Cheirocrinus sp.,genus,30949,Cheirocrinus,genus,30949,Chazyan,468.1,460.9,60944,CA,Quebec
Palaeocystites sp.,genus,31067,Palaeocystites,genus,31067,Chazyan,468.1,460.9,60944,CA,Quebec
Blastoidocrinus sp.,genus,30935,Blastoidocrinus,genus,30935,Chazyan,468.1,460.9,60944,CA,Quebec
Canadocystis sp.,genus,31111,Canadocystis,genus,31111,Chazyan,468.1,460.9,60944,CA,Quebec
Malocystites sp.,genus,31120,Malocystites,genus,31120,Chazyan,468.1,460.9,60944,CA,Quebec
Rostricellula sp.,genus,28877,Rostricellula,genus,28877,Chazyan,468.1,460.9,60944,CA,Quebec
Raphistoma sp.,genus,8495,Raphistoma,genus,8495,Chazyan,468.1,460.9,60944,CA,Quebec
Atelelasma ? sp.,genus,26675,Atelelasma,genus,26675,Chazyan,468.1,460.9,60944,CA,Quebec
Camerella sp.,genus,28179,Camerella,genus,28179,Chazyan,468.1,460.9,60944,CA,Quebec
Hesperorthis sp.,genus,26800,Hesperorthis,genus,26800,Chazyan,468.1,460.9,60944,CA,Quebec
Orthoidea indet.,superfamily,84995,Orthoidea,superfamily,84995,Chazyan,468.1,460.9,60944,CA,Quebec
Multicostella sp.,genus,26864,Multicostella,genus,26864,Chazyan,468.1,460.9,60944,CA,Quebec
Valcourea sp.,genus,27037,Valcourea,genus,27037,Chazyan,468.1,460.9,60944,CA,Quebec
Schizambon sp.,genus,26552,Schizambon,genus,26552,Chazyan,468.1,460.9,60944,CA,Quebec
Bucania sp.,genus,8317,Bucania,genus,8317,Chazyan,468.1,460.9,60944,CA,Quebec
Vaginoceras sp.,genus,12805,Vaginoceras,genus,12805,Chazyan,468.1,460.9,60944,CA,Quebec
Basilicus sp.,genus,19872,Basilicus,genus,19872,Chazyan,468.1,460.9,60944,CA,Quebec
Calliops sp.,genus,103777,Calliops,genus,103777,Chazyan,468.1,460.9,60944,CA,Quebec
Eoharpes sp.,genus,20495,Eoharpes,genus,20495,Chazyan,468.1,460.9,60944,CA,Quebec
